,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-21 00:00:00-05:00,190.68640490239304,190.79598967081523,189.0227199280596,189.9193115234375,38134500,0.0,0.0,136.1337598607609,137.0227390166426,135.80415156228685,136.81298828125,22635300,0.0,0.0,373.62804899357167,374.17504731314,369.1027624295918,371.04217529296875,28423100,0.0,0.0,143.91000366210938,144.0500030517578,141.5,143.89999389648438,71226000,0.0,0.0
2023-11-22 00:00:00-05:00,190.76613471931282,192.20067846046405,190.10862600392616,190.58680725097656,39617700,0.0,0.0,137.31240287371818,139.26016430662656,137.31240287371818,138.33123779296875,17813900,0.0,0.0,375.94535168873216,377.7256305034054,372.9318227027555,375.7961730957031,23345300,0.0,0.0,144.57000732421875,147.74000549316406,144.57000732421875,146.7100067138672,45669100,0.0,0.0
2023-11-24 00:00:00-05:00,190.14843790944465,190.1783232825699,188.53456695625997,189.25184631347656,24048300,0.0,0.0,137.87177018999702,137.97166165303722,135.83411541913406,136.53330993652344,12514300,0.0,0.0,375.2789554627134,375.91549121999134,373.1008874444975,375.37841796875,10176600,0.0,0.0,146.6999969482422,147.1999969482422,145.32000732421875,146.74000549316406,22378400,0.0,0.0
2023-11-27 00:00:00-05:00,189.20202317699906,189.9491878713485,188.1858749363745,189.072509765625,40552600,0.0,0.0,135.874062323299,138.2613219640832,135.8440979327647,136.25363159179688,23436500,0.0,0.0,374.731962508856,378.5709967639776,374.15512852839515,376.552001953125,22179200,0.0,0.0,147.52999877929688,149.25999450683594,146.8800048828125,147.72999572753906,53762400,0.0,0.0
2023-11-28 00:00:00-05:00,189.06255500942564,190.35764353332857,188.68398669599583,189.68020629882812,38415400,0.0,0.0,135.92399820821834,137.09265507829082,135.26475118162475,137.04270935058594,18730000,0.0,0.0,376.29342058531836,380.9181386526685,376.1044509343525,380.6197814941406,20453100,0.0,0.0,146.97999572753906,147.60000610351562,145.52999877929688,147.02999877929688,42711700,0.0,0.0
2023-11-29 00:00:00-05:00,190.1783286463289,191.36383248408393,188.25563198255236,188.65411376953125,43014200,0.0,0.0,137.4122949313807,138.13145549020675,134.68541367204398,134.8352508544922,23967200,0.0,0.0,381.6740559679596,382.2110989077795,375.38840147609375,376.7907409667969,28963400,0.0,0.0,147.85000610351562,148.5399932861328,145.97000122070312,146.32000732421875,40610900,0.0,0.0
2023-11-30 00:00:00-05:00,189.12233356607825,189.60052993998752,187.47857723394316,189.23191833496094,48794400,0.0,0.0,134.89518236810392,135.39460917047282,131.12950001067927,132.37806701660156,38988300,0.0,0.0,376.43267242664,378.0239815470539,373.4290988462353,376.85040283203125,30554400,0.0,0.0,144.75999450683594,146.92999267578125,144.3300018310547,146.08999633789062,65814000,0.0,0.0
2023-12-01 00:00:00-05:00,189.61049575839724,190.83584172296256,188.51464801700962,190.51705932617188,45679300,0.0,0.0,131.70884704589844,131.95856046626142,130.52020872636305,131.70884704589844,31431200,0.0,0.0,374.7121046862492,376.10448881912436,369.29171639734125,372.4743347167969,33020400,0.0,0.0,146.0,147.25,145.5500030517578,147.02999877929688,39924600,0.0,0.0
2023-12-04 00:00:00-05:00,189.2618062982008,189.33154897076486,186.74137178051248,188.71388244628906,43389500,0.0,0.0,129.7311122271067,129.880934172646,127.75337871885681,129.12181091308594,36669900,0.0,0.0,367.0937233301231,367.51142337800945,360.92741195614553,367.1335144042969,32063300,0.0,0.0,145.25,145.35000610351562,142.80999755859375,144.83999633789062,48294200,0.0,0.0
2023-12-05 00:00:00-05:00,189.49095553635823,193.66510330405998,189.46105496038606,192.68881225585938,66628400,0.0,0.0,128.80217378990392,131.98851933912593,128.10297929037955,130.83984375,27384800,0.0,0.0,364.4581343822117,371.05207082009633,363.6326289381052,370.4951171875,23065000,0.0,0.0,143.5500030517578,148.57000732421875,143.1300048828125,146.8800048828125,46822400,0.0,0.0
2023-12-06 00:00:00-05:00,193.7149093352022,194.02373499680974,191.38375898522384,191.5929718017578,41089700,0.0,0.0,131.28932678128083,131.68886214654734,129.73111751892543,129.87095642089844,23576200,0.0,0.0,371.50963606154306,372.14614156591165,366.02957589155807,366.7953796386719,21182100,0.0,0.0,147.5800018310547,147.85000610351562,144.27999877929688,144.52000427246094,39679000,0.0,0.0
